objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7910874",5G NR,NIEUWEGEIN,1999/04/29,2020/07/21,5G NR,Nieuwegein,135517,449634,3439ML,6455288922
"7910875",5G NR,DOORN,2006/12/08,2020/08/19,5G NR,Utrechtse Heuvelrug,149946,449601,3941BL,9889304390
"7910876",5G NR,EDE,2005/12/23,2020/12/17,5G NR,Ede,175106,449668,6711JC,7345579967
"7910877",5G NR,VEENENDAAL,2020/11/03,2020/12/03,5G NR,Veenendaal,168149,449797,3902HP,9373478932
"7910878",5G NR,RIJSWIJK ZH,2020/03/15,2020/04/15,5G NR,Rijswijk,82086,450341,2288GK,3787462642
"7910879",5G NR,'S-GRAVENHAGE,2020/03/15,2020/04/15,5G NR,'s-Gravenhage,84814,450309,2497BW,117865339
"7910880",5G NR,BLEISWIJK,2020/06/21,2020/07/21,5G NR,Lansingerland,96030,450253,2665LE,6891932496
"7910881",5G NR,RIJSWIJK ZH,1996/09/19,2020/04/15,5G NR,Rijswijk,82660,450480,2288ER,3705628716
"7910882",5G NR,ARNHEM,2000/09/20,2021/02/18,5G NR,Arnhem,192441,450134,6816TG,6960666649
"7910883",5G NR,VEENENDAAL,1998/06/08,2020/09/30,5G NR,Veenendaal,166890,450045,3905KV,9238267096
"7910884",5G NR,ZOETERMEER,1996/02/05,2020/02/14,5G NR,Zoetermeer,93595,450451,2718GJ,3255744858
"7910885",5G NR,NOOTDORP,2008/06/06,2020/04/15,5G NR,Pijnacker-Nootdorp,86567,450615,2631AA,5243828457
"7910886",5G NR,VEENENDAAL,2020/08/30,2020/09/30,5G NR,Veenendaal,165125,450175,3905TG,5014499726
"7910887",5G NR,EDE,1997/08/08,2020/10/14,5G NR,Ede,172840,450230,6714BK,3414288469
"7910888",5G NR,HOUTEN,1999/09/10,2020/07/21,5G NR,Houten,138203,450295,3992AK,5337805790
"7910889",5G NR,WADDINXVEEN,1998/10/14,2020/07/21,5G NR,Waddinxveen,103718,450535,2743GD,4617939784
"7910890",5G NR,NIEUWEGEIN,1999/07/30,2020/11/19,5G NR,Nieuwegein,133790,450320,3437AB,8132618180
