objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7908999",LTE,Bunde,2016/10/27,2016/11/03,LTE,Meerssen,178734,323893,6241ND,6978450246
"7909000",LTE,Landgraaf,2015/06/12,2015/10/28,LTE,Landgraaf,199706,324131,6371LV,2462311395
"7909001",LTE,Hoensbroek,2003/01/27,2019/12/11,LTE,Heerlen,193351,324088,6433KC,2586846381
"7909002",LTE,Heerlen,2017/10/13,2017/11/16,LTE,Heerlen,195186,324316,6413VR,8327774965
"7909003",LTE,Ulestraten,2013/09/05,2017/04/24,LTE,Meerssen,183333,324357,6235EK,8512259896
"7909004",LTE,Landgraaf,2015/04/21,2015/10/28,LTE,Landgraaf,199974,324766,6373GL,5411752080
"7909005",LTE,Hoensbroek,2020/08/06,2020/08/06,LTE,Heerlen,194257,324755,6433KD,6175561842
"7909006",LTE,Landgraaf,2008/11/19,2019/12/11,LTE,Landgraaf,200613,324813,6373HN,2897883531
"7909007",LTE,Nuth,2018/05/18,2018/05/18,LTE,Nuth,190080,324744,6361DD,4565768999
"7909008",LTE,Landgraaf,2020/09/17,2020/09/17,LTE,Landgraaf,201637,325285,6374HG,609977243
"7909009",LTE,Beek (LB),2015/05/22,2015/12/09,LTE,Beek,181861,325180,6199AD,298254597
"7934873",LTE,Elburg,2019/03/23,2019/04/06,LTE,Elburg,185162,496443,8081HJ,7905731393
"7934874",LTE,Zaandam,2018/10/04,2018/10/18,LTE,Zaanstad,117450,496540,1508DX,4385858394
"7934875",LTE,Velsen-Zuid,2014/06/17,2014/07/01,LTE,Velsen,103805,496694,1981EG,9426600986
"7934876",LTE,Monnickendam,2018/09/27,2018/10/11,LTE,Waterland,131341,496537,1141CM,2135612560
"7934877",LTE,IJmuiden,2018/11/22,2018/12/06,LTE,Velsen,101827,496805,1973RG,7145010513
"7934878",LTE,Hattem,2018/03/08,2018/03/22,LTE,Hattem,199876,496732,8051PB,1383314453
"7934879",LTE,IJmuiden,2015/02/10,2015/02/24,LTE,Velsen,102635,496806,1972VV,7731188509
"7934880",LTE,Velsen-Zuid,2020/01/30,2020/02/13,LTE,Velsen,106136,496824,1981LE,2934625979
"7934881",LTE,Vroomshoop,2020/03/28,2020/04/11,LTE,Twenterand,235300,497240,7681ZN,8052228103
"7934882",LTE,Velsen Zuid,2018/10/18,2018/11/01,LTE,Velsen,105235,497150,1981AV,923294999
"7934883",LTE,Biddinghuizen,2020/07/11,2020/07/25,LTE,Dronten,176370,496953,8256SB,6314312695
"7934884",LTE,Marken,2014/09/17,2014/10/01,LTE,Waterland,136339,496945,1156BV,4346365892
"7934885",LTE,IJmuiden,2014/03/21,2014/04/04,LTE,Velsen,100320,497310,1976CZ,843536979
"7934886",LTE,Den Ham,2014/03/19,2014/04/02,LTE,Twenterand,230780,497590,7683BL,961541755
"7934887",LTE,IJmuiden,2019/03/16,2019/03/30,LTE,Velsen,103640,497302,1981EB,9719828542
"7934888",LTE,Westerhaar,2020/08/01,2020/08/15,LTE,Twenterand,239302,497800,7676TB,4469330595
"7934889",LTE,IJmuiden,2015/06/20,2015/07/04,LTE,Velsen,102239,497465,1972MH,6924543268
"7934890",LTE,Langeveen,2015/11/21,2015/12/05,LTE,Tubbergen,245164,498259,7679TH,7200850243
"7934891",LTE,Lelystad,2014/08/12,2014/08/26,LTE,Lelystad,158750,497550,8218AA,2124095832
"7934892",LTE,Hattem,2018/06/21,2018/07/05,LTE,Hattem,201420,497807,8051AA,2471817159
"7934893",LTE,Wezep,2020/03/26,2020/04/09,LTE,Oldebroek,196551,497796,8091EB,5695272196
"7934894",LTE,Assendelft,2014/03/06,2014/03/20,LTE,Zaanstad,111400,497830,1566WS,6112326153
"7934895",LTE,Ilpendam,2019/10/24,2019/11/07,LTE,Waterland,125947,497731,1452AG,4552137323
"7934896",LTE,Zaandam,2018/06/07,2018/06/21,LTE,Zaanstad,117347,497846,1509XC,4994085567
"7934897",LTE,Appingedam,2015/03/14,2015/03/28,LTE,Appingedam,252961,593968,9901ED,549404568
"7934898",LTE,Dokkum,2018/01/27,2018/02/10,LTE,Dongeradeel,196996,593171,9101WZ,7076041997
"7934899",LTE,Appingedam,2017/12/02,2017/12/16,LTE,Appingedam,254166,594086,9901CC,4949479096
"7934900",LTE,Dokkum,2019/10/24,2019/11/07,LTE,Dongeradeel,196575,593305,9101WV,3367339801
"7934901",LTE,Engwierdum,2021/11/04,2021/11/18,LTE,Dongeradeel,206030,593480,9132EM,6099207338
"7934902",LTE,Delfzijl,2014/10/31,2014/11/14,LTE,Delfzijl,257451,594730,9934CS,9713295728
"7934903",LTE,Winsum,2018/08/30,2018/09/13,LTE,Winsum,231182,594330,9951SC,5841110378
"7934904",LTE,Westeremden,2015/02/15,2015/03/01,LTE,Loppersum,242295,594630,9921TH,360922858
"7934905",LTE,Dokkum,2015/12/05,2015/12/19,LTE,Dongeradeel,196248,594268,9101ZM,2121219295
"7934906",LTE,Delfzijl,2017/05/09,2017/05/23,LTE,Delfzijl,257954,595285,9934AR,3671850485
"7908169",LTE,Utrecht,2020/11/02,2020/11/02,LTE,Utrecht,135578,455309,3531AH,8525280711
"7908170",LTE,Scherpenzeel,2020/07/10,2020/07/10,LTE,Scherpenzeel,161706,455281,3925HX,1666380315
"7908171",LTE,Utrecht,2020/06/12,2020/06/12,LTE,Utrecht,133532,455339,3541BD,4872424042
"7908172",LTE,Eerbeek,2015/09/10,2020/02/04,LTE,Brummen,199090,455508,6961LH,2308175660
"7908173",LTE,Voorburg,2020/06/05,2020/06/05,LTE,Leidschendam-Voorburg,85467,455809,2272BX,4146565283
"7908174",LTE,Lunteren,2020/07/10,2020/07/10,LTE,Ede,170723,455355,6741VC,5895172311
"7908175",LTE,Brummen,2019/09/06,2019/09/06,LTE,Brummen,207232,455626,6971BE,5055906577
"7908176",LTE,Austerlitz,2009/11/25,2017/01/23,LTE,Woudenberg,150995,455362,3931MG,3877508686
"7908177",LTE,Utrecht,2013/10/15,2015/10/14,LTE,Utrecht,131806,455415,3544SX,9556246839
"7908178",LTE,Den Haag,2014/02/19,2015/06/25,LTE,'s-Gravenhage,80411,455923,2518BD,2399352418
"7908179",LTE,Den Haag,2004/08/13,2017/03/31,LTE,'s-Gravenhage,78304,455992,2566EV,3926598092
"7908180",LTE,Woerden,2014/03/28,2015/07/08,LTE,Woerden,119888,455528,3443BS,3866082581
"7908181",LTE,Den Haag,2014/02/19,2015/06/25,LTE,'s-Gravenhage,82812,455931,2594AH,5968805022
"7908182",LTE,Woudenberg,2020/07/10,2020/07/10,LTE,Woudenberg,156648,455420,3931JB,6053781470
"7908183",LTE,Den Haag,2013/11/11,2019/12/19,LTE,'s-Gravenhage,83326,455952,2593TT,447139288
"7908184",LTE,Utrecht,2017/09/22,2017/09/22,LTE,Utrecht,139776,455467,3584CC,9150829963
"7908185",LTE,Lisse,2014/06/27,2015/07/29,LTE,Lisse,96950,476842,2161AM,2101356060
"7908186",LTE,Bussum,2014/05/02,2015/08/05,LTE,Bussum,140668,476587,1401BH,4716304438
"7908187",LTE,Huizen,2015/04/09,2015/08/05,LTE,Huizen,142690,476692,1272EX,8424291507
"7908188",LTE,Vaassen,2017/12/22,2017/12/22,LTE,Epe,193391,476846,8172EA,928927393
"7908189",LTE,Hengelo (OV),2005/12/31,2017/06/26,LTE,Hengelo,252407,477703,7557XH,9084216082
"7908190",LTE,Schiphol-Rijk,2013/10/01,2013/10/01,LTE,Haarlemmermeer,111516,476974,1119PB,6026499697
"7908191",LTE,Lettele,2015/06/05,2016/01/21,LTE,Deventer,215449,477210,7434RV,5577437093
"7908192",LTE,Hengelo (OV),2021/07/08,2021/07/08,LTE,Hengelo,250920,477780,7556LK,2545719907
"7908193",LTE,Losser,2015/04/24,2020/01/29,LTE,Losser,263034,478032,7581PZ,8569515326
"7908194",LTE,Ermelo,2017/06/22,2020/01/23,LTE,Ermelo,176576,476991,3852PC,3350546850
"7908195",LTE,Amstelveen,2014/02/04,2015/05/13,LTE,Amstelveen,118237,477116,1188KD,2245768297
"7908196",LTE,Amstelveen,2014/10/16,2015/05/13,LTE,Amstelveen,117331,477135,1187XC,6310347089
"7908197",LTE,Holten,2020/07/24,2020/07/24,LTE,Rijssen-Holten,224629,477537,7451PH,8906885088
"7908198",LTE,Hengelo (OV),2013/03/05,2017/08/18,LTE,Hengelo,249966,477968,7556BN,4540230310
"7908199",LTE,Amstelveen,2020/10/09,2020/10/09,LTE,Amstelveen,116536,477238,1187MD,6845106716
"7908200",LTE,Hengelo (OV),2016/12/30,2017/01/05,LTE,Hengelo,248460,478030,7555PV,1046556826
"7909011",LTE,Heerlen,2020/09/17,2020/09/17,LTE,Heerlen,195431,325583,6413CZ,7698630769
"7909012",LTE,Landgraaf,2020/08/06,2020/08/06,LTE,Landgraaf,200470,325804,6374AE,3455778973
"7909013",LTE,Heerlen,2015/06/12,2015/10/28,LTE,Heerlen,195944,326069,6414NX,224539035
"7909014",LTE,Geulle,2015/10/17,2015/10/17,LTE,Meerssen,180222,326002,6243NG,9787868855
"7909015",LTE,Nuth,2015/07/09,2015/12/09,LTE,Nuth,189878,326069,6361KC,3471970301
